City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saint-leu,0,RE,1609710341,73,-21.15,55.28,24.0,3.1
acapulco,20,MX,1609710129,62,16.86,-99.89,30.0,4.1
xam nua,100,LA,1609710312,88,20.42,104.04,9.39,1.04
goundam,0,ML,1609709980,18,16.41,-3.67,25.09,4.58
nara,40,JP,1609710208,74,34.69,135.8,2.78,3.6
oranjemund,94,NA,1609710011,77,-28.55,16.43,20.31,3.61
tigil,97,RU,1609710341,93,57.8,158.67,-16.41,0.92
chuguyevka,63,RU,1609710341,87,44.17,133.86,-22.35,1.13
pandan niog,79,PH,1609710341,77,6.23,120.56,27.12,2.83
vestmannaeyjar,99,IS,1609709980,87,63.44,-20.27,8.15,17.29
kruisfontein,13,ZA,1609709997,88,-34.0,24.73,22.22,0.89
miyako,4,JP,1609710342,91,39.64,141.95,-3.92,2.48
birin,51,NP,1609710342,72,26.89,88.07,8.24,1.67
somerset east,84,ZA,1609710342,69,-32.72,25.59,20.78,2.58
dvorichna,33,UA,1609710342,97,49.85,37.69,-2.2,4.66
samoylovka,38,RU,1609710342,97,51.18,43.71,-6.55,2.18
mogadishu,100,SO,1609710342,80,2.04,45.34,25.02,9.23
sabzevar,0,IR,1609710342,61,36.21,57.68,2.16,2.66
karaton,75,ID,1609710342,88,-6.34,106.1,26.11,2.6
loding,75,NO,1609710342,93,67.3,14.75,2.0,2.6
zabol,0,AF,1609710342,65,32.25,67.25,0.98,3.07
kasempa,43,ZM,1609710015,95,-13.46,25.83,16.89,1.16
ituacu,94,BR,1609710342,68,-13.81,-41.3,24.77,3.37
emerald,75,AU,1609710343,83,-23.53,148.17,25.0,3.6
zaozerne,100,UA,1609710343,58,45.16,33.28,8.92,4.08
kaseda,75,JP,1609710343,80,31.42,130.32,2.0,2.1
pakala,28,IN,1609710343,95,13.47,79.12,18.18,0.92
salamiyah,70,SY,1609710343,62,35.01,37.05,11.83,3.69
yambio,96,SS,1609710343,50,4.57,28.4,23.13,0.64
bengkulu,93,ID,1609709971,81,-3.8,102.27,23.51,1.8
monrovia,20,LR,1609710344,94,6.3,-10.8,26.0,3.65
constitucion,3,CL,1609709942,61,-35.33,-72.42,19.32,9.93
aksu,0,CN,1609710000,91,41.12,80.26,-11.33,1.64
aykhal,0,RU,1609710344,64,66.0,111.5,-42.0,2.0
victoria,95,HK,1609709830,75,22.29,114.16,17.22,4.29
sayyan,1,YE,1609710344,65,15.17,44.32,6.51,1.46
dhidhdhoo,5,MV,1609710344,70,6.88,73.1,27.35,3.16
stuttgart,75,DE,1609710244,97,48.78,9.18,1.11,0.5
kiruna,98,SE,1609710344,85,67.86,20.23,-12.0,4.1
sistranda,20,NO,1609710344,86,63.73,8.83,-3.0,7.2
springdale,1,US,1609710088,35,36.19,-94.13,14.0,3.6
lebanon,17,US,1609710344,70,36.21,-86.29,8.33,0.45
kahului,40,US,1609709978,57,20.89,-156.47,27.0,6.7
lebu,0,CL,1609709983,71,-37.62,-73.65,15.0,9.57
benevento,69,IT,1609710344,89,41.22,14.75,8.33,1.14
tevriz,0,RU,1609709983,84,57.51,72.4,-32.77,2.32
nueva rosita,0,MX,1609710344,25,27.95,-101.22,21.67,2.24
storforshei,75,NO,1609710345,92,66.4,14.52,-4.0,1.0
meulaboh,99,ID,1609710345,86,4.14,96.13,24.16,2.04
grindavik,90,IS,1609710005,100,63.84,-22.43,7.0,17.5
barra patuca,14,HN,1609710345,78,15.8,-84.28,26.33,5.44
saint-pierre,0,RE,1609710345,73,-21.34,55.48,24.0,3.1
deputatskiy,100,RU,1609710005,88,69.3,139.9,-31.77,0.67
praxedis guerrero,40,MX,1609710345,19,31.37,-106.02,14.0,3.6
bonanza,1,NI,1609710345,94,14.03,-84.59,24.02,1.31
tooele,75,US,1609710345,93,40.53,-112.3,2.22,2.1
lafiagi,3,NG,1609710345,31,8.87,5.42,29.45,1.37
montrose,90,US,1609710125,91,38.42,-108.27,0.0,4.1
boyabat,88,TR,1609710345,66,41.47,34.77,6.25,0.51
braunfels,100,DE,1609710345,92,50.52,8.39,2.22,3.16
bhandara,40,IN,1609710346,82,21.17,79.65,16.0,1.0
boca do acre,46,BR,1609710006,70,-8.75,-67.4,29.65,1.08
beyneu,34,KZ,1609710346,96,45.32,55.2,-3.35,3.9
qui nhon,99,VN,1609710346,89,13.77,109.23,21.74,6.0
inirida,39,CO,1609710346,93,3.87,-67.92,25.86,0.56
sao goncalo do sapucai,44,BR,1609710208,93,-21.89,-45.6,18.33,2.28
plettenberg bay,64,ZA,1609710346,92,-34.05,23.37,21.31,1.58
bathsheba,40,BB,1609709997,69,13.22,-59.52,27.0,8.2
atar,2,MR,1609709973,25,20.52,-13.05,19.44,3.26
teknaf,1,BD,1609710346,80,20.86,92.31,17.85,1.72
tambovka,0,RU,1609710346,61,50.1,128.05,-28.0,3.0
barbacena,75,BR,1609710066,78,-21.23,-43.77,22.0,4.6
ayan,99,RU,1609710346,75,56.45,138.17,-27.86,4.98
lexington park,90,US,1609710346,93,38.27,-76.45,8.0,2.6
bulalacao,72,PH,1609710347,79,12.33,121.34,26.24,7.74
san cristobal,75,VE,1609710270,94,7.77,-72.22,24.0,2.1
surgut,20,RU,1609710347,74,61.25,73.42,-33.0,2.0
goderich,100,CA,1609709992,96,43.75,-81.72,0.0,1.0
pangnirtung,90,CA,1609709984,63,66.15,-65.71,-21.0,1.5
floro,59,NO,1609710347,71,61.6,5.03,0.0,3.1
ola,100,RU,1609710347,89,59.58,151.28,-22.51,6.24
tupik,32,RU,1609710347,80,54.43,119.93,-33.76,1.0
guadalupe y calvo,0,MX,1609710347,31,26.1,-106.97,15.11,2.8
almaznyy,90,RU,1609710347,98,48.04,40.05,0.0,8.0
sagua de tanamo,2,CU,1609710347,66,20.58,-75.24,25.8,2.23
carutapera,58,BR,1609710347,89,-1.2,-46.02,24.91,2.83
kathu,20,TH,1609710347,78,7.92,98.33,27.78,4.1
kamina,100,CD,1609710347,97,-8.74,24.99,18.46,1.17
sarkand,2,KZ,1609710348,55,45.41,79.92,-19.05,1.15
yar-sale,45,RU,1609710348,86,66.83,70.83,-29.05,6.03
cedro,77,BR,1609710348,41,-6.61,-39.06,28.69,1.13
port blair,90,IN,1609709975,82,11.67,92.75,25.93,4.44
kidal,0,ML,1609710348,21,18.44,1.41,23.31,3.47
ciudad bolivar,19,VE,1609710348,62,8.12,-63.55,27.15,4.48
george town,40,MY,1609710249,94,5.41,100.34,25.0,1.5
vardo,75,NO,1609709976,80,70.37,31.11,-1.0,4.6
northam,99,GB,1609709984,83,51.03,-4.22,4.44,5.36
luwuk,100,ID,1609710348,73,-0.95,122.79,25.68,1.9
ishigaki,75,JP,1609709973,93,24.34,124.16,19.0,5.1
asfi,100,MA,1609710348,64,32.3,-9.24,11.49,8.83
karaman,39,TR,1609710348,82,37.08,33.25,2.46,0.44
mogocha,17,RU,1609710348,83,53.73,119.77,-30.22,0.69
warmbad,100,NA,1609710348,74,-28.45,18.73,21.77,5.88
arlit,0,NE,1609710348,20,18.74,7.39,23.67,1.83
hualmay,65,PE,1609709998,75,-11.1,-77.61,22.78,4.48
alyangula,75,AU,1609710348,100,-13.85,136.42,26.0,3.65
labuan,20,MY,1609710349,94,5.28,115.24,25.0,0.5
wattegama,75,LK,1609709993,100,6.8,81.48,24.0,2.6
havre-saint-pierre,90,CA,1609709972,85,50.23,-63.6,-7.0,3.32
sechura,18,PE,1609710349,59,-5.56,-80.82,25.11,6.66
artvin,0,TR,1609709991,69,41.17,41.83,7.0,1.5
villa maria,100,AR,1609710147,78,-32.41,-63.24,23.33,0.45
aiken,1,US,1609710349,58,33.58,-81.6,12.22,6.2
grand gaube,0,MU,1609709998,85,-20.01,57.66,22.78,3.13
hammerfest,75,NO,1609710349,93,70.66,23.68,2.0,6.7
aragarcas,60,BR,1609710208,74,-15.9,-52.25,25.27,1.81
west wendover,1,US,1609710349,55,40.74,-114.07,3.0,1.5
ocean city,90,US,1609710349,93,39.28,-74.57,6.11,2.6
illela,0,NG,1609710349,17,13.73,5.3,26.17,3.12
suez,0,EG,1609710349,78,29.97,32.53,15.84,3.36
yatsuo,99,JP,1609710349,81,36.57,137.13,2.78,1.34
pangai,75,TO,1609710350,83,-19.8,-174.35,28.0,5.1
harper,3,LR,1609710350,79,4.38,-7.72,26.22,2.4
sungairaya,81,ID,1609710350,89,0.7,108.9,24.84,1.04
shaoguan,41,CN,1609710350,68,24.8,113.58,5.27,0.87
haverfordwest,37,GB,1609710350,88,51.8,-4.97,3.33,3.1
abnub,0,EG,1609710350,66,27.27,31.15,11.0,1.0
monticello,1,US,1609710350,68,45.31,-93.79,-0.56,3.21
urumqi,40,CN,1609710350,83,43.8,87.6,-21.0,1.0
venado,73,MX,1609710350,16,22.93,-101.08,23.09,3.99
megion,75,RU,1609710350,73,61.03,76.11,-35.0,2.0
acuitzio,28,MX,1609710351,16,20.34,-101.98,25.03,4.65
lucea,20,JM,1609710351,61,18.45,-78.17,28.0,6.7
zhelyabovka,51,UA,1609710351,86,45.4,34.76,6.08,4.33
olinda,40,BR,1609709718,69,-8.01,-34.86,26.0,3.6
onguday,27,RU,1609710351,79,50.75,86.15,-27.84,0.8
nivala,38,FI,1609710351,97,63.92,24.97,-7.8,1.55
vangaindrano,15,MG,1609709766,84,-23.35,47.6,22.94,1.44
tabou,0,CI,1609710351,80,4.42,-7.35,26.25,2.76
gorom-gorom,0,BF,1609710351,17,14.44,-0.24,26.64,3.05
kulhudhuffushi,3,MV,1609710351,71,6.62,73.07,27.3,3.2
liku,100,ID,1609710351,78,-0.73,119.89,24.06,0.84
noumea,0,NC,1609710351,74,-22.28,166.46,28.33,0.5
watertown,90,US,1609710303,80,42.37,-71.18,2.0,1.5
kiunga,100,PG,1609710352,98,-6.12,141.29,23.6,0.86
kavaratti,61,IN,1609709974,68,10.57,72.64,27.44,3.09
koslan,100,RU,1609710352,94,63.46,48.9,-14.17,3.61
botou,23,CN,1609710352,93,38.07,116.57,-5.81,1.99
beitbridge,0,ZW,1609710249,74,-22.22,30.0,22.8,3.16
vizinga,90,RU,1609710352,95,61.07,50.1,-11.96,2.62
green river,95,US,1609710351,87,41.53,-109.47,1.03,8.2
sheridan,40,US,1609710352,59,44.83,-106.92,3.89,3.19
bella union,94,UY,1609710352,27,-30.28,-57.6,31.33,2.08
mattru,1,SL,1609710352,91,7.62,-11.83,24.01,1.43
tilichiki,100,RU,1609709979,92,60.47,166.1,-19.2,4.29
calama,0,CL,1609710247,25,-22.47,-68.93,24.0,13.9
